skill_name	repo_spec	relative_path	discovered_from
-21risk-automation	ComposioHQ/awesome-claude-skills	composio-skills/-21risk-automation	https://github.com/ComposioHQ/awesome-claude-skills
-2chat-automation	ComposioHQ/awesome-claude-skills	composio-skills/-2chat-automation	https://github.com/ComposioHQ/awesome-claude-skills
00-andruia-consultant	sickn33/antigravity-awesome-skills	skills/00-andruia-consultant	https://github.com/sickn33/antigravity-awesome-skills
007	sickn33/antigravity-awesome-skills	skills/007	https://github.com/sickn33/antigravity-awesome-skills
10-andruia-skill-smith	sickn33/antigravity-awesome-skills	skills/10-andruia-skill-smith	https://github.com/sickn33/antigravity-awesome-skills
20-andruia-niche-intelligence	sickn33/antigravity-awesome-skills	skills/20-andruia-niche-intelligence	https://github.com/sickn33/antigravity-awesome-skills
2d-games	sickn33/antigravity-awesome-skills	skills/game-development/2d-games	https://github.com/sickn33/antigravity-awesome-skills
3d-games	sickn33/antigravity-awesome-skills	skills/game-development/3d-games	https://github.com/sickn33/antigravity-awesome-skills
3d-web-experience	sickn33/antigravity-awesome-skills	skills/3d-web-experience	https://github.com/sickn33/antigravity-awesome-skills
VibeSec-Skill	BehiSecc/VibeSec-Skill	.	https://awesomeclaude.ai/awesome-claude-skills
aarrr-metrics	guia-matthieu/clawfu-skills	skills/growth/aarrr-metrics	https://awesomeclaude.ai/awesome-claude-skills
ab-test-setup	sickn33/antigravity-awesome-skills	skills/ab-test-setup	https://github.com/sickn33/antigravity-awesome-skills
ab-test-stats	guia-matthieu/clawfu-skills	skills/analytics/ab-test-stats	https://awesomeclaude.ai/awesome-claude-skills
ably-automation	ComposioHQ/awesome-claude-skills	composio-skills/ably-automation	https://github.com/ComposioHQ/awesome-claude-skills
abstract-automation	ComposioHQ/awesome-claude-skills	composio-skills/abstract-automation	https://github.com/ComposioHQ/awesome-claude-skills
abuselpdb-automation	ComposioHQ/awesome-claude-skills	composio-skills/abuselpdb-automation	https://github.com/ComposioHQ/awesome-claude-skills
abyssale-automation	ComposioHQ/awesome-claude-skills	composio-skills/abyssale-automation	https://github.com/ComposioHQ/awesome-claude-skills
accelo-automation	ComposioHQ/awesome-claude-skills	composio-skills/accelo-automation	https://github.com/ComposioHQ/awesome-claude-skills
accessibility	davila7/claude-code-templates	cli-tool/components/skills/development/accessibility	https://www.aitmpl.com/
accessibility-auditor	davila7/claude-code-templates	cli-tool/components/skills/creative-design/accessibility-auditor	https://www.aitmpl.com/
accessibility-compliance-accessibility-audit	sickn33/antigravity-awesome-skills	skills/accessibility-compliance-accessibility-audit	https://github.com/sickn33/antigravity-awesome-skills
account-health	guia-matthieu/clawfu-skills	skills/revops/account-health	https://awesomeclaude.ai/awesome-claude-skills
accounts	raintree-technology/claude-starter	.claude/skills/plaid/accounts	https://awesomeclaude.ai/awesome-claude-skills
accredible-certificates-automation	ComposioHQ/awesome-claude-skills	composio-skills/accredible-certificates-automation	https://github.com/ComposioHQ/awesome-claude-skills
acculynx-automation	ComposioHQ/awesome-claude-skills	composio-skills/acculynx-automation	https://github.com/ComposioHQ/awesome-claude-skills
acquisition-channel-advisor	deanpeters/Product-Manager-Skills	skills/acquisition-channel-advisor	https://awesomeclaude.ai/awesome-claude-skills
active-campaign-automation	ComposioHQ/awesome-claude-skills	composio-skills/active-campaign-automation	https://github.com/ComposioHQ/awesome-claude-skills
active-directory-attacks	sickn33/antigravity-awesome-skills	skills/active-directory-attacks	https://github.com/sickn33/antigravity-awesome-skills
activecampaign-automation	sickn33/antigravity-awesome-skills	skills/activecampaign-automation	https://github.com/sickn33/antigravity-awesome-skills
ad-spend-optimizer	guia-matthieu/clawfu-skills	skills/acquisition/ad-spend-optimizer	https://awesomeclaude.ai/awesome-claude-skills
adaptyv	K-Dense-AI/claude-scientific-skills	scientific-skills/adaptyv	https://awesomeclaude.ai/awesome-claude-skills
address-github-comments	sickn33/antigravity-awesome-skills	skills/address-github-comments	https://github.com/sickn33/antigravity-awesome-skills
address-sanitizer	trailofbits/skills	plugins/testing-handbook-skills/skills/address-sanitizer	https://awesomeclaude.ai/awesome-claude-skills
addresszen-automation	ComposioHQ/awesome-claude-skills	composio-skills/addresszen-automation	https://github.com/ComposioHQ/awesome-claude-skills
adobe-automation	ComposioHQ/awesome-claude-skills	composio-skills/adobe-automation	https://github.com/ComposioHQ/awesome-claude-skills
adrapid-automation	ComposioHQ/awesome-claude-skills	composio-skills/adrapid-automation	https://github.com/ComposioHQ/awesome-claude-skills
advanced-evaluation	sickn33/antigravity-awesome-skills	skills/advanced-evaluation	https://github.com/sickn33/antigravity-awesome-skills
advogado-criminal	sickn33/antigravity-awesome-skills	skills/advogado-criminal	https://github.com/sickn33/antigravity-awesome-skills
advogado-especialista	sickn33/antigravity-awesome-skills	skills/advogado-especialista	https://github.com/sickn33/antigravity-awesome-skills
adyntel-automation	ComposioHQ/awesome-claude-skills	composio-skills/adyntel-automation	https://github.com/ComposioHQ/awesome-claude-skills
aeon	K-Dense-AI/claude-scientific-skills	scientific-skills/aeon	https://awesomeclaude.ai/awesome-claude-skills
aero-workflow-automation	ComposioHQ/awesome-claude-skills	composio-skills/aero-workflow-automation	https://github.com/ComposioHQ/awesome-claude-skills
aeroleads-automation	ComposioHQ/awesome-claude-skills	composio-skills/aeroleads-automation	https://github.com/ComposioHQ/awesome-claude-skills
affinda-automation	ComposioHQ/awesome-claude-skills	composio-skills/affinda-automation	https://github.com/ComposioHQ/awesome-claude-skills
affinity-automation	ComposioHQ/awesome-claude-skills	composio-skills/affinity-automation	https://github.com/ComposioHQ/awesome-claude-skills
aflpp	trailofbits/skills	plugins/testing-handbook-skills/skills/aflpp	https://awesomeclaude.ai/awesome-claude-skills
agencyzoom-automation	ComposioHQ/awesome-claude-skills	composio-skills/agencyzoom-automation	https://github.com/ComposioHQ/awesome-claude-skills
agent-development	davila7/claude-code-templates	cli-tool/components/skills/development/agent-development	https://www.aitmpl.com/
agent-evaluation	sickn33/antigravity-awesome-skills	skills/agent-evaluation	https://github.com/sickn33/antigravity-awesome-skills
agent-framework-azure-ai-py	sickn33/antigravity-awesome-skills	skills/agent-framework-azure-ai-py	https://github.com/sickn33/antigravity-awesome-skills
agent-mail-automation	ComposioHQ/awesome-claude-skills	composio-skills/agent-mail-automation	https://github.com/ComposioHQ/awesome-claude-skills
agent-management	davila7/claude-code-templates	cli-tool/components/skills/ai-maestro/agent-management	https://www.aitmpl.com/
agent-manager-skill	sickn33/antigravity-awesome-skills	skills/agent-manager-skill	https://github.com/sickn33/antigravity-awesome-skills
agent-md-refactor	davila7/claude-code-templates	cli-tool/components/skills/development/agent-md-refactor	https://www.aitmpl.com/
agent-memory-mcp	sickn33/antigravity-awesome-skills	skills/agent-memory-mcp	https://github.com/sickn33/antigravity-awesome-skills
agent-memory-systems	sickn33/antigravity-awesome-skills	skills/agent-memory-systems	https://github.com/sickn33/antigravity-awesome-skills
agent-messaging	davila7/claude-code-templates	cli-tool/components/skills/ai-maestro/agent-messaging	https://www.aitmpl.com/
agent-orchestration-improve-agent	sickn33/antigravity-awesome-skills	skills/agent-orchestration-improve-agent	https://github.com/sickn33/antigravity-awesome-skills
agent-orchestration-multi-agent-optimize	sickn33/antigravity-awesome-skills	skills/agent-orchestration-multi-agent-optimize	https://github.com/sickn33/antigravity-awesome-skills
agent-orchestrator	sickn33/antigravity-awesome-skills	skills/agent-orchestrator	https://github.com/sickn33/antigravity-awesome-skills
agent-tool-builder	sickn33/antigravity-awesome-skills	skills/agent-tool-builder	https://github.com/sickn33/antigravity-awesome-skills
agent-without-context	avifenesh/agnix	tests/fixtures/invalid/skills/agent-without-context	https://awesomeclaude.ai/awesome-claude-skills
agentbay-aio-skills	agentbay-ai/agentbay-skills	agentbay-aio-skills	https://awesomeclaude.ai/awesome-claude-skills
agentbay-monitor-skills	agentbay-ai/agentbay-skills	agentbay-monitor-skills	https://awesomeclaude.ai/awesome-claude-skills
agentfolio	sickn33/antigravity-awesome-skills	skills/agentfolio	https://github.com/sickn33/antigravity-awesome-skills
agentic-actions-auditor	sickn33/antigravity-awesome-skills	skills/agentic-actions-auditor	https://github.com/sickn33/antigravity-awesome-skills
agentmail	sickn33/antigravity-awesome-skills	skills/agentmail	https://github.com/sickn33/antigravity-awesome-skills
agentql-automation	ComposioHQ/awesome-claude-skills	composio-skills/agentql-automation	https://github.com/ComposioHQ/awesome-claude-skills
agents-autogpt	davila7/claude-code-templates	cli-tool/components/skills/ai-research/agents-autogpt	https://www.aitmpl.com/
agents-crewai	davila7/claude-code-templates	cli-tool/components/skills/ai-research/agents-crewai	https://www.aitmpl.com/
agents-langchain	davila7/claude-code-templates	cli-tool/components/skills/ai-research/agents-langchain	https://www.aitmpl.com/
agents-llamaindex	davila7/claude-code-templates	cli-tool/components/skills/ai-research/agents-llamaindex	https://www.aitmpl.com/
agents-md	sickn33/antigravity-awesome-skills	skills/agents-md	https://github.com/sickn33/antigravity-awesome-skills
agents-v2-py	sickn33/antigravity-awesome-skills	skills/agents-v2-py	https://github.com/sickn33/antigravity-awesome-skills
agenty-automation	ComposioHQ/awesome-claude-skills	composio-skills/agenty-automation	https://github.com/ComposioHQ/awesome-claude-skills
agile-product-owner	davila7/claude-code-templates	cli-tool/components/skills/business-marketing/agile-product-owner	https://www.aitmpl.com/
agiled-automation	ComposioHQ/awesome-claude-skills	composio-skills/agiled-automation	https://github.com/ComposioHQ/awesome-claude-skills
agility-cms-automation	ComposioHQ/awesome-claude-skills	composio-skills/agility-cms-automation	https://github.com/ComposioHQ/awesome-claude-skills
agirails-agent-payments	davila7/claude-code-templates	cli-tool/components/skills/development/agirails-agent-payments	https://www.aitmpl.com/
agnix	avifenesh/agnix	plugin/skills/agnix	https://awesomeclaude.ai/awesome-claude-skills
ahrefs-automation	ComposioHQ/awesome-claude-skills	composio-skills/ahrefs-automation	https://github.com/ComposioHQ/awesome-claude-skills
ai-agent-development	sickn33/antigravity-awesome-skills	skills/ai-agent-development	https://github.com/sickn33/antigravity-awesome-skills
ai-agents-architect	sickn33/antigravity-awesome-skills	skills/ai-agents-architect	https://github.com/sickn33/antigravity-awesome-skills
ai-analyzer	sickn33/antigravity-awesome-skills	skills/ai-analyzer	https://github.com/sickn33/antigravity-awesome-skills
ai-engineer	sickn33/antigravity-awesome-skills	skills/ai-engineer	https://github.com/sickn33/antigravity-awesome-skills
ai-ml	sickn33/antigravity-awesome-skills	skills/ai-ml	https://github.com/sickn33/antigravity-awesome-skills
ai-ml-api-automation	ComposioHQ/awesome-claude-skills	composio-skills/ai-ml-api-automation	https://github.com/ComposioHQ/awesome-claude-skills
ai-product	sickn33/antigravity-awesome-skills	skills/ai-product	https://github.com/sickn33/antigravity-awesome-skills
ai-shaped-readiness-advisor	deanpeters/Product-Manager-Skills	skills/ai-shaped-readiness-advisor	https://awesomeclaude.ai/awesome-claude-skills
ai-storyboard-2x2	guia-matthieu/clawfu-skills	skills/video/ai-storyboard-2x2	https://awesomeclaude.ai/awesome-claude-skills
ai-studio-image	sickn33/antigravity-awesome-skills	skills/ai-studio-image	https://github.com/sickn33/antigravity-awesome-skills
ai-video-concept	guia-matthieu/clawfu-skills	skills/video/ai-video-concept	https://awesomeclaude.ai/awesome-claude-skills
ai-video-prompting	guia-matthieu/clawfu-skills	skills/video/ai-video-prompting	https://awesomeclaude.ai/awesome-claude-skills
